PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,PlaytimeCategory,PurchaseStatus
9000,43,Male,Other,Strategy,16,0,Medium,6,108,79,25,Medium,Medium,No Purchase
9001,29,Female,USA,Strategy,6,0,Medium,5,144,11,10,Medium,Low,No Purchase
9002,22,Female,USA,Sports,8,0,Easy,16,142,35,41,High,Low,No Purchase
9003,35,Male,USA,Action,5,1,Easy,9,85,57,47,Medium,Low,Purchased
9004,33,Male,Europe,Action,16,0,Medium,2,131,95,37,Medium,Medium,No Purchase
9005,37,Male,Europe,RPG,21,0,Easy,2,81,74,22,Low,Medium,No Purchase
9006,25,Male,USA,Action,10,0,Hard,1,50,13,2,Low,Medium,No Purchase
9007,25,Female,Asia,RPG,4,0,Medium,10,48,27,23,Medium,Low,No Purchase
9008,38,Female,Europe,Simulation,18,0,Easy,5,101,23,41,Medium,Medium,No Purchase
9009,38,Female,Other,Sports,24,0,Easy,13,95,99,36,High,Medium,No Purchase
9010,17,Male,USA,Strategy,5,0,Hard,8,95,14,12,High,Low,No Purchase
9011,36,Female,Asia,Simulation,6,1,Easy,16,124,62,31,High,Low,Purchased
9012,16,Male,USA,Sports,19,1,Easy,9,18,52,32,High,Medium,Purchased
9013,38,Female,USA,Strategy,9,0,Easy,0,156,33,47,Low,Low,No Purchase
9014,44,Male,USA,Simulation,18,0,Easy,8,41,98,1,Low,Medium,No Purchase
9015,16,Male,Europe,RPG,8,0,Medium,10,156,58,24,High,Low,No Purchase
9016,35,Male,Asia,Strategy,18,0,Easy,16,154,62,4,High,Medium,No Purchase
9017,47,Male,USA,RPG,17,0,Medium,2,131,13,9,Low,Medium,No Purchase
9018,26,Female,Asia,Action,19,0,Easy,3,135,77,25,Medium,Medium,No Purchase
9019,36,Female,Asia,RPG,19,0,Easy,4,56,21,30,Low,Medium,No Purchase
9020,39,Female,USA,Sports,2,0,Easy,2,177,34,37,Medium,Low,No Purchase
9021,41,Female,USA,Sports,16,0,Easy,18,159,36,33,High,Medium,No Purchase
9022,42,Male,USA,Sports,10,0,Medium,2,120,81,5,Low,Medium,No Purchase
9023,30,Male,Europe,Strategy,18,0,Easy,14,117,40,19,High,Medium,No Purchase
9024,29,Male,Europe,Sports,23,0,Medium,12,161,1,22,High,Medium,No Purchase
9025,17,Female,USA,Sports,10,0,Hard,4,82,1,7,Medium,Medium,No Purchase
9026,21,Male,USA,Strategy,5,0,Medium,12,118,71,26,High,Low,No Purchase
9027,35,Male,USA,Sports,15,0,Easy,18,177,59,18,High,Medium,No Purchase
9028,23,Male,Europe,Simulation,3,0,Easy,14,57,2,1,Medium,Low,No Purchase
9029,32,Female,USA,Sports,4,0,Easy,1,155,85,37,Low,Low,No Purchase
9030,18,Female,Asia,Simulation,23,0,Easy,3,67,35,2,Low,Medium,No Purchase
9031,39,Male,USA,Sports,3,1,Easy,5,70,50,11,Medium,Low,Purchased
9032,28,Female,Europe,Action,15,0,Hard,0,127,48,48,Low,Medium,No Purchase
9033,23,Male,USA,Simulation,19,0,Hard,19,48,62,42,Medium,Medium,No Purchase
9034,40,Male,USA,Strategy,12,0,Hard,0,120,24,18,Low,Medium,No Purchase
9035,16,Female,USA,RPG,17,0,Medium,18,166,24,17,High,Medium,No Purchase
9036,34,Male,Europe,Action,14,0,Hard,19,28,79,41,Medium,Medium,No Purchase
9037,42,Male,USA,Strategy,24,0,Medium,17,61,26,26,Medium,Medium,No Purchase
9038,21,Female,Europe,Action,2,0,Medium,11,112,14,0,Medium,Low,No Purchase
9039,22,Female,Europe,Sports,6,0,Hard,3,116,52,44,Medium,Low,No Purchase
9040,49,Female,Europe,Strategy,14,1,Medium,15,43,93,29,Medium,Medium,Purchased
9041,28,Male,Other,RPG,12,0,Medium,4,151,76,35,Medium,Medium,No Purchase
9042,31,Male,USA,Action,2,0,Medium,15,68,88,39,Medium,Low,No Purchase
9043,18,Male,Other,RPG,13,0,Medium,12,115,98,7,Medium,Medium,No Purchase
9044,16,Female,Europe,Action,3,0,Easy,14,149,10,34,High,Low,No Purchase
9045,20,Male,Asia,RPG,17,0,Medium,19,65,34,46,Medium,Medium,No Purchase
9046,18,Male,USA,RPG,16,0,Easy,17,176,45,43,High,Medium,No Purchase
9047,43,Male,USA,Strategy,2,0,Medium,3,31,73,49,Low,Low,No Purchase
9048,32,Female,USA,Sports,11,0,Easy,19,77,51,38,High,Medium,No Purchase
9049,40,Male,Europe,Sports,17,0,Hard,8,94,31,13,Medium,Medium,No Purchase
9050,48,Male,Other,RPG,19,0,Hard,3,146,22,32,Medium,Medium,No Purchase
9051,24,Male,USA,Sports,1,0,Medium,8,45,19,21,High,Low,No Purchase
9052,28,Male,Europe,Simulation,11,0,Easy,8,134,64,25,Medium,Medium,No Purchase
9053,45,Male,Europe,Simulation,24,1,Easy,1,50,95,26,Low,Medium,Purchased
9054,29,Male,Europe,RPG,9,1,Easy,15,171,6,16,High,Low,Purchased
9055,22,Female,USA,RPG,13,1,Easy,8,46,8,0,Medium,Medium,Purchased
9056,28,Male,USA,Simulation,7,0,Easy,8,139,20,1,Medium,Low,No Purchase
9057,37,Male,USA,Simulation,1,1,Easy,15,36,88,36,Medium,Low,Purchased
9058,35,Male,USA,Simulation,22,0,Easy,15,148,73,43,High,Medium,No Purchase
9059,30,Female,USA,Strategy,15,0,Easy,9,153,46,19,Medium,Medium,No Purchase
9060,32,Male,USA,Action,13,0,Hard,11,138,27,13,High,Medium,No Purchase
9061,38,Female,USA,Strategy,19,0,Medium,19,155,35,30,High,Medium,No Purchase
9062,40,Female,Europe,Simulation,4,0,Easy,2,94,76,42,Medium,Low,No Purchase
9063,39,Male,Other,Action,21,0,Hard,16,140,10,16,High,Medium,No Purchase
9064,43,Male,Other,Sports,15,0,Easy,1,16,38,43,Low,Medium,No Purchase
9065,29,Female,USA,Simulation,17,1,Easy,16,135,80,43,High,Medium,Purchased
9066,15,Female,USA,Simulation,15,0,Easy,6,49,58,42,Medium,Medium,No Purchase
9067,39,Female,Other,Sports,20,0,Medium,7,46,26,47,Medium,Medium,No Purchase
9068,21,Female,Europe,Action,19,0,Easy,13,30,3,40,Medium,Medium,No Purchase
9069,23,Male,Other,Simulation,14,1,Medium,17,167,72,24,High,Medium,Purchased
9070,38,Female,Europe,Action,20,0,Easy,13,79,29,32,Medium,Medium,No Purchase
9071,15,Male,Asia,Strategy,19,0,Medium,7,111,45,2,Medium,Medium,No Purchase
9072,22,Male,Europe,RPG,12,1,Easy,7,79,46,32,Medium,Medium,Purchased
9073,38,Female,Europe,Strategy,2,0,Medium,12,131,12,37,High,Low,No Purchase
9074,25,Male,Europe,RPG,21,1,Easy,19,109,91,48,High,Medium,Purchased
9075,31,Male,USA,Simulation,9,0,Easy,14,106,23,1,High,Low,No Purchase
9076,22,Male,Asia,Strategy,20,1,Medium,3,29,9,30,Low,Medium,Purchased
9077,49,Male,USA,Strategy,19,1,Easy,0,83,15,4,Low,Medium,Purchased
9078,49,Female,USA,Sports,2,1,Easy,12,70,33,33,Medium,Low,Purchased
9079,47,Male,Asia,RPG,7,0,Easy,10,14,15,25,Low,Low,No Purchase
9080,19,Female,Europe,RPG,20,1,Easy,1,139,24,0,Low,Medium,Purchased
9081,42,Male,USA,Simulation,14,0,Medium,12,34,14,15,Medium,Medium,No Purchase
9082,21,Male,USA,Sports,8,0,Easy,5,77,40,38,Medium,Low,No Purchase
9083,23,Male,USA,Sports,4,1,Easy,12,41,73,10,Medium,Low,Purchased
9084,22,Male,USA,RPG,10,0,Easy,19,102,14,24,High,Medium,No Purchase
9085,26,Male,USA,Sports,15,0,Medium,4,117,4,49,Medium,Medium,No Purchase
9086,48,Female,Asia,Action,8,1,Easy,3,122,89,24,Medium,Low,Purchased
9087,47,Male,Europe,Simulation,14,0,Hard,18,14,78,4,Low,Medium,No Purchase
9088,37,Male,USA,Strategy,20,0,Medium,11,147,40,49,High,Medium,No Purchase
9089,38,Male,Europe,RPG,7,1,Medium,8,107,11,7,Medium,Low,Purchased
9090,49,Male,USA,Sports,2,0,Medium,14,36,59,35,Medium,Low,No Purchase
9091,36,Male,USA,Sports,4,0,Easy,1,73,76,15,Low,Low,No Purchase
9092,41,Female,Europe,Sports,6,1,Easy,7,12,77,28,Low,Low,Purchased
9093,49,Male,Asia,Simulation,3,0,Easy,0,99,80,42,Low,Low,No Purchase
9094,15,Male,Asia,Strategy,10,1,Hard,4,32,33,42,Low,Medium,Purchased
9095,49,Male,Europe,Sports,8,0,Easy,19,126,3,14,High,Low,No Purchase
9096,28,Male,USA,Strategy,9,1,Medium,1,84,61,39,Low,Low,Purchased
9097,17,Male,Europe,Strategy,9,0,Easy,3,117,1,11,Medium,Low,No Purchase
9098,15,Female,Europe,Simulation,6,0,Easy,11,55,54,37,Medium,Low,No Purchase
9099,19,Female,USA,Sports,15,0,Hard,14,93,65,42,High,Medium,No Purchase
9100,40,Male,Europe,Sports,6,0,Medium,5,40,89,29,Medium,Low,No Purchase
9101,28,Female,Europe,Strategy,22,0,Hard,11,109,53,18,Medium,Medium,No Purchase
9102,41,Male,Europe,Sports,8,0,Easy,2,33,54,33,Low,Low,No Purchase
9103,23,Female,Europe,Simulation,23,0,Medium,8,91,38,14,Medium,Medium,No Purchase
9104,29,Female,Other,Sports,5,0,Easy,16,36,22,36,Medium,Low,No Purchase
9105,29,Male,Europe,Sports,2,1,Easy,15,101,73,45,High,Low,Purchased
9106,40,Male,Asia,Sports,7,0,Easy,15,24,56,17,Medium,Low,No Purchase
9107,27,Male,Other,Simulation,8,0,Hard,17,72,45,48,Medium,Low,No Purchase
9108,46,Male,Asia,Strategy,19,1,Medium,9,127,75,32,Medium,Medium,Purchased
9109,46,Male,Other,Strategy,19,0,Easy,12,96,2,21,Medium,Medium,No Purchase
9110,18,Female,Asia,Sports,4,0,Easy,16,121,10,35,High,Low,No Purchase
9111,44,Male,USA,Simulation,22,0,Hard,7,60,5,30,Medium,Medium,No Purchase
9112,37,Male,USA,Sports,9,0,Medium,18,145,88,15,High,Low,No Purchase
9113,29,Female,USA,Simulation,24,0,Medium,3,51,72,44,Low,Medium,No Purchase
9114,43,Female,USA,Simulation,23,0,Easy,14,96,42,47,High,Medium,No Purchase
9115,27,Male,USA,Strategy,7,0,Hard,18,111,34,9,High,Low,No Purchase
9116,46,Female,Asia,Action,11,0,Medium,12,142,24,18,High,Medium,No Purchase
9117,21,Female,USA,Action,20,1,Easy,17,142,12,20,High,Medium,Purchased
9118,36,Male,Asia,RPG,7,0,Easy,3,69,52,14,Low,Low,No Purchase
9119,42,Male,Other,RPG,11,0,Medium,7,154,23,19,Medium,Medium,No Purchase
9120,16,Female,USA,Action,5,1,Easy,17,149,48,14,High,Low,Purchased
9121,20,Female,USA,Strategy,12,0,Medium,11,75,69,25,Medium,Medium,No Purchase
9122,42,Male,Asia,RPG,7,0,Hard,15,17,19,43,Low,Low,No Purchase
9123,42,Male,USA,Action,3,0,Medium,17,62,77,35,Medium,Low,No Purchase
9124,34,Female,USA,Strategy,17,0,Medium,13,124,35,43,High,Medium,No Purchase
9125,44,Female,USA,RPG,9,0,Medium,11,34,8,11,Medium,Low,No Purchase
9126,25,Female,USA,RPG,13,0,Medium,7,108,76,1,Medium,Medium,No Purchase
9127,42,Female,Asia,Action,13,0,Easy,19,157,85,7,High,Medium,No Purchase
9128,39,Female,Europe,RPG,14,0,Easy,15,108,49,32,High,Medium,No Purchase
9129,47,Female,USA,Strategy,18,0,Easy,2,65,92,45,Medium,Medium,No Purchase
9130,15,Female,Europe,Action,17,1,Hard,5,94,76,14,Medium,Medium,Purchased
9131,41,Female,USA,Strategy,18,0,Medium,1,70,5,43,Low,Medium,No Purchase
9132,27,Male,USA,RPG,19,0,Medium,16,154,13,27,High,Medium,No Purchase
9133,17,Female,Europe,Strategy,9,0,Medium,7,78,54,36,Medium,Low,No Purchase
9134,20,Male,Europe,Sports,19,0,Easy,18,14,49,5,Low,Medium,No Purchase
9135,22,Male,USA,Simulation,9,1,Hard,13,21,58,19,Low,Low,Purchased
9136,41,Male,Asia,RPG,10,0,Easy,1,124,15,24,Low,Medium,No Purchase
9137,23,Male,Asia,Sports,22,0,Easy,7,45,45,42,Medium,Medium,No Purchase
9138,47,Male,Other,Simulation,16,0,Medium,6,62,96,40,Medium,Medium,No Purchase
9139,38,Female,Europe,Action,6,1,Medium,7,43,72,16,Medium,Low,Purchased
9140,29,Female,USA,Simulation,16,0,Easy,1,69,81,14,Low,Medium,No Purchase
9141,46,Female,Asia,Action,4,0,Easy,19,42,64,31,Medium,Low,No Purchase
9142,46,Female,USA,Sports,6,1,Hard,8,103,54,36,Medium,Low,Purchased
9143,38,Male,USA,Simulation,1,1,Hard,3,124,82,4,Medium,Low,Purchased
9144,26,Male,Asia,RPG,16,1,Hard,16,52,87,2,Medium,Medium,Purchased
9145,16,Male,Other,Sports,23,1,Easy,12,132,4,4,High,Medium,Purchased
9146,17,Male,USA,Simulation,22,0,Easy,17,105,60,37,High,Medium,No Purchase
9147,31,Female,USA,Strategy,19,0,Easy,11,27,23,13,Low,Medium,No Purchase
9148,16,Male,Europe,Strategy,4,0,Hard,3,159,8,44,Low,Low,No Purchase
9149,16,Male,Other,Action,20,0,Easy,9,19,95,31,Medium,Medium,No Purchase
9150,42,Male,Europe,Sports,0,0,Hard,18,117,40,0,High,Low,No Purchase
9151,37,Male,Asia,Strategy,22,0,Easy,9,138,13,19,Medium,Medium,No Purchase
9152,46,Male,Other,Simulation,17,0,Hard,0,140,95,46,Low,Medium,No Purchase
9153,47,Female,Europe,RPG,4,1,Hard,19,70,49,44,High,Low,Purchased
9154,15,Male,Asia,Action,14,0,Easy,8,39,45,45,Medium,Medium,No Purchase
9155,33,Male,Europe,Simulation,15,0,Easy,11,92,39,43,Medium,Medium,No Purchase
9156,16,Male,Europe,Action,6,0,Easy,9,50,82,18,Medium,Low,No Purchase
9157,40,Female,Europe,Strategy,20,0,Medium,3,138,36,30,Medium,Medium,No Purchase
9158,46,Male,Europe,Sports,12,1,Medium,11,179,91,4,High,Medium,Purchased
9159,20,Male,Europe,RPG,14,1,Hard,12,135,66,49,High,Medium,Purchased
